lying
standing
walking-rider
walking-natural
trotting-rider
trotting-natural
running-rider
running-natural
grazing
eating
fighting
shaking
scratch-biting
brest-feeding
rubbing
unknown
food-fight
head-shake
rolling
scared
jumping
